,shortcode,object
562,Crbn2RdOiDz,"racer, race_car, racing_car"
563,CrbNESfIqvR,sarong
564,CrbnlDdOkxN,umbrella
565,CrbnlTCO-ix,"web_site, website, internet_site, site"
566,CrbnOwTOgXH,"web_site, website, internet_site, site"
567,CrbNTBxOhgm,"web_site, website, internet_site, site"
568,CrbO1C2o5qI,"ballplayer, baseball_player"
569,CrbO2sHIf_S,"jean, blue_jean, denim"
570,CrbO4YFIwpR,sweatshirt
571,CrbO6lgIJk-,"jersey, T-shirt, tee_shirt"
572,CrbOAIeIj8s,llama
573,CrbOcaZL8HG,"web_site, website, internet_site, site"
574,CrbOCXrysfR,"web_site, website, internet_site, site"
575,CrbOmPXIXmT,comic_book
576,CrbOVU4oAap,"web_site, website, internet_site, site"
577,CrbowemO2N9,"web_site, website, internet_site, site"
578,CrboXoqL8iC,"web_site, website, internet_site, site"
579,CrbO_STI-fJ,"jersey, T-shirt, tee_shirt"
580,CrbP4jWIWwW,"web_site, website, internet_site, site"
581,CrbpLpWJo_v,jigsaw_puzzle
582,CrBPsp0NQdp,"suit, suit_of_clothes"
583,CrbPW6do8rJ,bulletproof_vest
584,CrBq4ClPbe_,balloon
585,Crbq8sXNy0i,"web_site, website, internet_site, site"
586,CrbQhywNtlH,"web_site, website, internet_site, site"
587,CrbQJ1Ju5wX,"web_site, website, internet_site, site"
588,CrbqlDWuAYo,"ballplayer, baseball_player"
589,CrbQNwFgZ71,"web_site, website, internet_site, site"
590,CrbQttdM47V,"suit, suit_of_clothes"
591,CrbQyV_M3wx,"ice_lolly, lolly, lollipop, popsicle"
592,Crbr-p8SZQU,"web_site, website, internet_site, site"
593,CrbR3-nuiaf,soccer_ball
594,Crbrc4hvWGC,"web_site, website, internet_site, site"
595,CrbrRkFBPad,"web_site, website, internet_site, site"
596,CrbrSC0uXTf,"web_site, website, internet_site, site"
597,CrbsfXQJaZf,"web_site, website, internet_site, site"
598,CrbsiPEOagd,comic_book
599,CrbsZp0OWrz,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
600,CrBt7XqpNSJ,"cliff, drop, drop-off"
601,CrbTBaWMYJT,"web_site, website, internet_site, site"
602,CrBtf2qP9gW,toucan
603,CrBTJlxrPlz,tennis_ball
604,Crbtooth7xU,airliner
605,CrbTPjAJTfn,gown
606,CrbTTchuF31,"web_site, website, internet_site, site"
607,Crbt_WLpgqF,carton
608,CrbU6-lvtp7,airliner
609,Crbul_8ulS0,"web_site, website, internet_site, site"
610,CrbUni3v5mo,airliner
611,CrbuSSZMLpy,torch
612,CrbuTEHPHHB,"web_site, website, internet_site, site"
613,CrbuZfHJcqN,"web_site, website, internet_site, site"
614,Crbv5CfJ5nj,volcano
615,Crbvc1pMZrk,sleeping_bag
616,CrbVlFTyf9G,airliner
617,Crbvn83OVix,"web_site, website, internet_site, site"
618,CrbVQjtOK_q,comic_book
619,CrbVuxtrJ8z,"web_site, website, internet_site, site"
620,CrbWa5gMX6S,stole
621,CrbWAwdr2nR,"web_site, website, internet_site, site"
622,CrbWDneJsQ7,"web_site, website, internet_site, site"
623,CrbwEVmJ9eU,"bikini, two-piece"
624,CrbwfvrM-vg,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
625,CrbwKzWvuaZ,"sunglasses, dark_glasses, shades"
626,CrbWNzLMHOr,"television, television_system"
627,CrbWQ_vJlU9,airliner
628,CrbWTlfOtZ3,"suit, suit_of_clothes"
629,CrbWWc-OExv,"web_site, website, internet_site, site"
630,Crbx2cnpVte,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
631,CrbX5jxr2Mx,"lipstick, lip_rouge"
632,CrbxCnBvTIT,"remote_control, remote"
633,CrBXn1LrH8d,oxygen_mask
634,CrbXUr0NAZ_,"solar_dish, solar_collector, solar_furnace"
635,CrbxXHLvw_M,bulletproof_vest
636,CrbxYBnsvt3,volleyball
637,Crbx_duvC1F,"web_site, website, internet_site, site"
638,CrbyiQPrhVN,comic_book
639,CrbyOh0vad_,menu
640,CrbYoOFSPdq,"web_site, website, internet_site, site"
641,CrbYVzrMe1w,wig
642,CrbZ2QnPfez,"lipstick, lip_rouge"
643,Crbz3SXORiY,combination_lock
644,CrbZd-tPfds,"web_site, website, internet_site, site"
645,CrbzfxxBMWL,"ant, emmet, pismire"
646,CrbznaSA6sJ,"web_site, website, internet_site, site"
647,CrbZNjioHbB,crutch
648,CrbzxZlLSo3,"web_site, website, internet_site, site"
649,Crbzy3mPlCB,"ballplayer, baseball_player"
650,Crc-4kqLRrK,brain_coral
651,Crc-jWCKe67,"lab_coat, laboratory_coat"
652,Crc0-eiPsEP,"web_site, website, internet_site, site"
653,Crc09lxKpXm,"beacon, lighthouse, beacon_light, pharos"
654,Crc0KCCLwfT,"sax, saxophone"
655,Crc0ykShhyh,comic_book
656,Crc0YLArfDs,"web_site, website, internet_site, site"
657,Crc1dRZLVBo,"web_site, website, internet_site, site"
658,Crc1VFHons6,"bookshop, bookstore, bookstall"
659,Crc27KVOM9Y,basketball
660,Crc2dktvPfP,"web_site, website, internet_site, site"
661,Crc2kT2t-eR,"web_site, website, internet_site, site"
662,Crc2tokOlMZ,"television, television_system"
663,Crc2Xzqt3UP,"web_site, website, internet_site, site"
664,Crc2zsQOKwY,"web_site, website, internet_site, site"
665,Crc31MOO_YK,"web_site, website, internet_site, site"
666,Crc36Fkr-3V,"web_site, website, internet_site, site"
667,Crc3hOjtksc,"web_site, website, internet_site, site"
668,Crc3OTQqNUK,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
669,Crc4a8jr2rX,"web_site, website, internet_site, site"
670,Crc4eMOrO0A,"web_site, website, internet_site, site"
671,Crc4ENeuU-Y,football_helmet
672,Crc4eyUOGqN,"lab_coat, laboratory_coat"
673,Crc4fAqMMIo,rugby_ball
674,Crc4HUhviHt,"web_site, website, internet_site, site"
675,Crc4nO3Nhcf,"web_site, website, internet_site, site"
676,Crc4Of3B4EF,"web_site, website, internet_site, site"
677,Crc4S-jrJMF,"web_site, website, internet_site, site"
678,Crc4XeQL_iA,"web_site, website, internet_site, site"
679,Crc56Zdg0M3,"web_site, website, internet_site, site"
680,Crc5gE_ooBj,"ballplayer, baseball_player"
681,Crc5jFprQz8,"web_site, website, internet_site, site"
682,Crc5MhMKzLR,"prison, prison_house"
683,Crc5owcNQ9_,"web_site, website, internet_site, site"
684,Crc5py3vVkA,"web_site, website, internet_site, site"
685,Crc5UzDuWGL,"web_site, website, internet_site, site"
686,Crc5VX9Ba3N,"web_site, website, internet_site, site"
687,Crc5_UkMFcR,"web_site, website, internet_site, site"
688,Crc67pLLJG1,"web_site, website, internet_site, site"
689,Crc6BTIMZ7a,"web_site, website, internet_site, site"
690,Crc6d53hisi,"web_site, website, internet_site, site"
691,Crc6HIGPsAl,"web_site, website, internet_site, site"
692,Crc6iR1OPIU,"suit, suit_of_clothes"
693,Crc6j8_POp5,wig
694,Crc6QettMLr,stole
695,Crc71gQLerP,"web_site, website, internet_site, site"
696,Crc78iBtkXD,"slot, one-armed_bandit"
697,Crc7oaoNFiT,"shoe_shop, shoe-shop, shoe_store"
698,Crc7q0hKYHG,"television, television_system"
699,Crc7rZoPKYn,"web_site, website, internet_site, site"
700,Crc7sLRO0o-,"web_site, website, internet_site, site"
701,Crc7wzeBgrg,"web_site, website, internet_site, site"
702,Crc7Y-eubOc,"television, television_system"
703,Crc891NIqog,"web_site, website, internet_site, site"
704,Crc8arJs_r1,ski
705,Crc8dQ_NGfN,"web_site, website, internet_site, site"
706,Crc93nIM8Nx,"web_site, website, internet_site, site"
707,Crc96RlorPI,"web_site, website, internet_site, site"
708,Crc98IhJtQ6,"web_site, website, internet_site, site"
709,Crc9kh5Iuzl,"web_site, website, internet_site, site"
710,Crc9twDtLZu,"web_site, website, internet_site, site"
711,Crc9U5dvxss,"web_site, website, internet_site, site"
712,Crc9xiCovtg,"web_site, website, internet_site, site"
713,Crc9zoEvbS1,"web_site, website, internet_site, site"
714,CrcAB3ysDYb,Windsor_tie
715,CrcAfieP0Nz,Great_Dane
716,CrcaGdivU9M,"web_site, website, internet_site, site"
717,CrcaGwcM15a,"suit, suit_of_clothes"
718,CrcAwkZLcwe,"web_site, website, internet_site, site"
719,CrcB0z-vZJU,"cab, hack, taxi, taxicab"
720,CrcB7hxMwKQ,iPod
721,CrcBa3rOO3g,magnetic_compass
722,CrcbAfRopCZ,"web_site, website, internet_site, site"
723,CrcbhkirH_a,"web_site, website, internet_site, site"
724,CrcBj1gMcYs,ski
725,CrcbYfuMPuo,packet
726,CrcB_wdpbCZ,"backpack, back_pack, knapsack, packsack, rucksack, haversack"
727,CrcC97UoJzs,"ballplayer, baseball_player"
728,Crcckr7Ksxq,"web_site, website, internet_site, site"
729,CrccRUYMqPA,"web_site, website, internet_site, site"
730,CrccUI7OIEs,"brassiere, bra, bandeau"
731,CrcCvN7Pp4K,comic_book
732,CrcczuFrcCp,"web_site, website, internet_site, site"
733,CrcC_bnvKfr,"web_site, website, internet_site, site"
734,CrcC_Z9sTmQ,ping-pong_ball
735,CrcD6I2vuwm,sweatshirt
736,Crcd7oNsmQ4,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
737,CrcdCjdv_cC,"web_site, website, internet_site, site"
738,CrcdwbWSBvf,comic_book
739,CrcDwCDPgp3,"brassiere, bra, bandeau"
740,CrcDXCLOIu0,packet
741,CrcebbEtAUI,rugby_ball
742,CrcebmEJMJV,"web_site, website, internet_site, site"
743,Crcef9SIaZh,"web_site, website, internet_site, site"
744,CrceHu0LoDK,"web_site, website, internet_site, site"
745,Crcei9eNoyt,"maillot, tank_suit"
746,CrcElDFvAZt,wine_bottle
747,CrcEuT8OwEn,minibus
748,CrcewcuAe-L,"web_site, website, internet_site, site"
749,CrcF-Dap7Jr,comic_book
750,Crcfbp8MwUC,"web_site, website, internet_site, site"
751,CrcFDrvpNIw,"web_site, website, internet_site, site"
752,CrcFGLmPXPO,bow
753,CrcfP-BK0fS,Windsor_tie
754,CrcFT4wPVuE,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
755,CrcfW0pr1XC,"restaurant, eating_house, eating_place, eatery"
756,CrcGBeTP5sl,"web_site, website, internet_site, site"
757,CrcgexXuftA,"web_site, website, internet_site, site"
758,Crcgt3wtmgL,"jersey, T-shirt, tee_shirt"
759,Crch3E4Pwzm,ambulance
760,Crch3qJtodB,"candle, taper, wax_light"
761,CrcHOWCOSr8,"dining_table, board"
762,CrcHqIOLJaW,"web_site, website, internet_site, site"
763,CrchQreq04D,"suit, suit_of_clothes"
764,CrcHqTdMwIm,"maillot, tank_suit"
765,CrcI8uTsOli,"balance_beam, beam"
766,CrcieNOL7FW,"balance_beam, beam"
767,CrciHnKOiQy,"web_site, website, internet_site, site"
768,CrciKOQLYwA,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
769,Crcil7Xry1f,"web_site, website, internet_site, site"
770,CrciM5YMlm_,comic_book
771,CrcItZ6pK32,"jersey, T-shirt, tee_shirt"
772,CrcIureRCJS,street_sign
773,CrcIUUJpyFv,"web_site, website, internet_site, site"
774,CrcIZlQvJYF,"web_site, website, internet_site, site"
775,Crcj3Ner-1k,"web_site, website, internet_site, site"
776,CrcJ4jttQNT,"horse_cart, horse-cart"
777,CrcJd_wB9L3,abaya
778,CrcJKWgMpsZ,magnetic_compass
779,CrcKCYCrRDw,"web_site, website, internet_site, site"
780,CrckegQOHv6,"pajama, pyjama, pj's, jammies"
781,CrckKn1r-4x,"web_site, website, internet_site, site"
782,CrcKNtHJbRA,"web_site, website, internet_site, site"
783,CrcKP-EunfQ,combination_lock
784,CrcktQGuGzz,"horizontal_bar, high_bar"
785,CrCKtWXveKH,"web_site, website, internet_site, site"
786,Crcl7rVulto,basketball
787,CrclFc8urRn,scoreboard
788,CrcLgjfJsZA,"web_site, website, internet_site, site"
789,CrcLgTgpAx7,"web_site, website, internet_site, site"
790,CrcLhyFIQTA,"bow_tie, bow-tie, bowtie"
791,CrcLOvUJhFE,"web_site, website, internet_site, site"
792,CrclS_EgShq,"web_site, website, internet_site, site"
793,CrclTpkt4W9,wig
794,Crclv2-uiZV,basketball
795,CrclV94s-_J,basketball
796,CrclwufsEER,basketball
797,Crclxw5Od39,basketball
798,CrcMBLnpQGh,sunglass
799,CrcMFF2opSn,comic_book
800,CrcMH5Vt4KW,"horizontal_bar, high_bar"
801,Crcmoe8y1E1,"web_site, website, internet_site, site"
802,CrcmP-5smgK,basketball
803,CrcmzbOMEcU,comic_book
804,CrcNCfdvlIn,maillot
805,CrcnD7fOHso,"unicycle, monocycle"
806,CrcNDQ9rcco,maillot
807,Crcnj0QLN2K,"web_site, website, internet_site, site"
808,CrcnycZNcCk,stethoscope
809,CrcNznXRBHr,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
810,CrcO-r0O7S8,"web_site, website, internet_site, site"
811,CrcO3uQMhBh,"candle, taper, wax_light"
812,CrcoEd1s1w2,basketball
813,CrcOh_CLs0x,"web_site, website, internet_site, site"
814,CrcOLYVs9FI,"web_site, website, internet_site, site"
815,CrcoSuNuKnV,knee_pad
816,CrcouSZOpQL,maillot
817,CrcovA7PLbs,"web_site, website, internet_site, site"
818,CrcovoItNmA,"plunger, plumber's_helper"
819,CrcoyFMsrJs,monitor
820,Crcp-T4I9xg,"seashore, coast, seacoast, sea-coast"
821,Crcp3olgr56,maillot
822,CrCpfpVt3Zq,"pajama, pyjama, pj's, jammies"
823,CrcpIBcudlZ,"horizontal_bar, high_bar"
824,CrcpRLkOw_r,scoreboard
825,CrcqH5NITit,"web_site, website, internet_site, site"
826,CrcqHNJu5H8,maillot
827,CrcQlkAN6Tf,"web_site, website, internet_site, site"
828,CrcQsuvNmXj,basketball
829,CrcQtrKIK2Y,"web_site, website, internet_site, site"
830,CrcQvTivgiy,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
831,CrcqzgiNpSJ,comic_book
832,CrcR2dXube0,"groom, bridegroom"
833,Crcr4HRsk13,"ballplayer, baseball_player"
834,Crcr4OZPXfr,"web_site, website, internet_site, site"
835,CrcrAQZMKNN,"web_site, website, internet_site, site"
836,CrcrAwCO6oB,"web_site, website, internet_site, site"
837,CrcrdrZO-TN,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
838,CrcRKZ4L9I_,"web_site, website, internet_site, site"
839,Crcro7rMV4e,neck_brace
840,CrcrOyCtoPx,"web_site, website, internet_site, site"
841,CrcRpryrFzE,mask
842,CrcrrFZuBRS,ski
843,CrcrSBph3gl,packet
844,CrcRVk2PnHd,"web_site, website, internet_site, site"
845,Crcs9MpLpON,"web_site, website, internet_site, site"
846,Crcsa8gv-bg,menu
847,CrcSDtxP0kv,"theater_curtain, theatre_curtain"
848,CrcsEs8p6lh,"web_site, website, internet_site, site"
849,Crcsg9XrcSW,"web_site, website, internet_site, site"
850,CrcSHXVPrpv,"prison, prison_house"
851,CrcSJeFP1mH,shoji
852,CrcSKF5LEjH,maillot
853,CrcskVMsx2A,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
854,CrcslX1NtIq,"web_site, website, internet_site, site"
855,CrcsP2jh7j9,"web_site, website, internet_site, site"
856,CrcspkjL5Zr,"tobacco_shop, tobacconist_shop, tobacconist"
857,CrcsQrjy73p,"web_site, website, internet_site, site"
858,CrcSU3koY1Z,"web_site, website, internet_site, site"
859,CrcS_J7N-es,"web_site, website, internet_site, site"
860,CrcT4k8uQIx,wig
861,Crct6LIqnBB,sunglass
862,CrcthsYtOm7,"web_site, website, internet_site, site"
863,CrctjQ4L3eQ,"web_site, website, internet_site, site"
864,CrcTnCkPgSq,"seashore, coast, seacoast, sea-coast"
865,CrCtQQhN82E,sarong
866,CrcTw0DJcWr,monitor
867,Crcu2YWJGoL,"web_site, website, internet_site, site"
868,Crcu6yooAcs,comic_book
869,CrcuE9nuE33,"web_site, website, internet_site, site"
870,CrcUGnHLBFK,"web_site, website, internet_site, site"
871,CrcUIhXvlz4,"web_site, website, internet_site, site"
872,CrcUIYTJplG,monitor
873,CrcuSATBzjz,"web_site, website, internet_site, site"
874,CrcUYEKscH5,"rubber_eraser, rubber, pencil_eraser"
875,CrcVdXsL0Xp,"web_site, website, internet_site, site"
876,CrcvF0Wsmnr,"web_site, website, internet_site, site"
877,CrCVF3OP40-,"hoopskirt, crinoline"
878,Crcvm7gNKL_,"web_site, website, internet_site, site"
879,CrCVstivN_3,"miniskirt, mini"
880,CrcW4i5sQR6,"slot, one-armed_bandit"
881,CrcW4nHMOZS,comic_book
882,CrcWa5ttSVW,"web_site, website, internet_site, site"
883,CrcWby8sBDm,"web_site, website, internet_site, site"
884,CrcwDmUgbR_,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
885,CrcwGXCq0DY,"cab, hack, taxi, taxicab"
886,CrcWjbWsb7A,tripod
887,Crcwmy2rHsH,"web_site, website, internet_site, site"
888,CrcWnBsuGrh,"web_site, website, internet_site, site"
889,CrcWRpdrmIO,chain
890,CrcWzTBrqqW,"web_site, website, internet_site, site"
891,CrcX5jrMTz_,"web_site, website, internet_site, site"
892,Crcx9N3JeG6,"web_site, website, internet_site, site"
893,CrCXbrXO00N,"web_site, website, internet_site, site"
894,CrcXFGeLQFs,basketball
895,Crcxl-WoToS,"web_site, website, internet_site, site"
896,CrcXlH_oMgD,military_uniform
897,CrcyECfL5Wo,"web_site, website, internet_site, site"
898,CrcyJehPL_A,"web_site, website, internet_site, site"
899,CrcyOjmrvyv,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
900,CrcYpAJNxQ3,"web_site, website, internet_site, site"
901,CrcyPbjvZup,"web_site, website, internet_site, site"
902,CrcYwdtqPg_,comic_book
903,CrcYzPbv0AC,"web_site, website, internet_site, site"
904,Crcz1rwS6RK,"web_site, website, internet_site, site"
905,CrczC66N8ki,"prison, prison_house"
906,CrczDOgoeSf,"ballplayer, baseball_player"
907,CrczH8yhfsC,"web_site, website, internet_site, site"
908,CrcZJczLgLu,"web_site, website, internet_site, site"
909,CrczsCBMW8d,"web_site, website, internet_site, site"
910,Crc_0Hhobkk,"web_site, website, internet_site, site"
911,Crc_8oXrPGA,comic_book
912,Crc_FJ1hBTS,"ballplayer, baseball_player"
913,CrD1C2qvNRS,"ballplayer, baseball_player"
914,CrD1rBAuvDc,"bobsled, bobsleigh, bob"
915,CrdAJWCJBKl,football_helmet
916,CrdAxsrOc7B,"web_site, website, internet_site, site"
917,CrdBedJIFNC,"parallel_bars, bars"
918,CrdBeljBpmY,"web_site, website, internet_site, site"
919,CrdBgk1tFMK,"web_site, website, internet_site, site"
920,CrdBkWxobVS,"web_site, website, internet_site, site"
921,CrdBmSKt_G0,"web_site, website, internet_site, site"
922,CrdBY8Yo3Zv,basketball
923,CrdCDIYNjPG,"web_site, website, internet_site, site"
924,CrdCdWJPPch,"web_site, website, internet_site, site"
925,CrdCUZmoDH9,"academic_gown, academic_robe, judge's_robe"
926,CrdC_gyOz_Z,"bikini, two-piece"
927,CrdD5-Dob5y,Windsor_tie
928,CrdDhOTu_2u,comic_book
929,CrdDilANL5o,comic_book
930,CrdDPx7Ijas,"web_site, website, internet_site, site"
931,CrdDQY3rp1k,"web_site, website, internet_site, site"
932,CrdEDDjuOR5,comic_book
933,CrdEeeHIuqB,"web_site, website, internet_site, site"
934,CrdEFvoPAn0,"web_site, website, internet_site, site"
935,CrdEH_WrnBU,"web_site, website, internet_site, site"
936,CrdEILXPMJC,"web_site, website, internet_site, site"
937,CrDERAXg2aB,"web_site, website, internet_site, site"
938,CrdESabtkC5,"web_site, website, internet_site, site"
939,CrdEVVjOEcR,comic_book
940,CrdEw9LOJJb,comic_book
941,CrdEx7vPu59,"web_site, website, internet_site, site"
942,CrdF0ktO3Gd,comic_book
943,CrdF8tJrBph,"web_site, website, internet_site, site"
944,CrdFJfSp5Hk,"ballplayer, baseball_player"
945,CrdFOZsrq1b,"web_site, website, internet_site, site"
946,CrdFTDDu6CW,comic_book
947,CrdFVo2PRU-,"lumbermill, sawmill"
948,CrdGAlNts7N,"web_site, website, internet_site, site"
949,CrdHQnMJQsb,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
950,CrdHX8AvWYm,"parallel_bars, bars"
951,CrdIQSwtiku,"ballplayer, baseball_player"
952,CrdJpprtNNR,volleyball
953,CrdKikSNX36,"web_site, website, internet_site, site"
954,CrdL1Lrpp-b,hartebeest
955,CrdL8GAp6wZ,"web_site, website, internet_site, site"
956,CrdLa3UJ9O7,"web_site, website, internet_site, site"
957,CrdLvxOJDQY,"web_site, website, internet_site, site"
958,CrdMHo2JnbC,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
959,CrDPg8Ksm0x,"pick, plectrum, plectron"
960,CrDPuqqsPDF,palace
961,CrDQMUds6os,comic_book
962,CrE3afZOqMQ,maraca
963,CrEDpo2rmJM,"theater_curtain, theatre_curtain"
964,CrEHoMbK0_C,snorkel
965,CrElaBmsP4P,basketball
966,CrEnBpRvJs5,"golfcart, golf_cart"
967,CrESoXYpM1j,alp
968,CrESyyVOKCI,crutch
969,CrEw26NP9zE,"maillot, tank_suit"
970,CrEw5BcvaP2,trench_coat
971,CrEw7xqPbTG,Windsor_tie
972,CrEwse0v1mV,bulletproof_vest
973,CrEw_mjP9CD,"maillot, tank_suit"
974,CrEZT6brfpN,fur_coat
975,CrFcr0lu2Sa,maillot
976,CrFJtOTL5Jh,"breastplate, aegis, egis"
977,CrFPeFlriwz,trench_coat
978,CrFq0MYvey0,"marimba, xylophone"
979,CrG1zcBNFQj,"ballplayer, baseball_player"
980,CrGgfF2IxAQ,ski_mask
981,CrGkNOur3RD,"web_site, website, internet_site, site"
982,CrGmE3ustlr,suspension_bridge
983,CrGMggNq1Cb,basketball
984,CrGsyZ-OEoQ,potter's_wheel
985,CrGuuWjMU2-,"ballplayer, baseball_player"
986,CrGZujltetk,"motor_scooter, scooter"
987,CrH4BWAI0M3,wig
988,CrH8xTjrGKi,comic_book
989,CrHHnh8vfGv,"bolo_tie, bolo, bola_tie, bola"
990,CrHxh-8rVKB,"brassiere, bra, bandeau"
991,CrI-dG4LZNO,"theater_curtain, theatre_curtain"
992,CrIAvLsIPng,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
993,CrIEeElKuXu,overskirt
994,CrIiDqDOVWB,basketball
995,CrIvblhMq7A,toyshop
996,CrJ5GtrpHX4,"solar_dish, solar_collector, solar_furnace"
997,CrJAlbrLUXn,comic_book
998,CrJBkVcMarG,"sax, saxophone"
999,CrJc43UMqkf,"drilling_platform, offshore_rig"
1000,CrJDtywpa8q,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1001,CrJDvOPpRFx,monitor
1002,CrJDwdkpsb2,"bobsled, bobsleigh, bob"
1003,CrJhliWvmPx,jack-o'-lantern
1004,CrJKbv-L130,wig
1005,CrJrHlfvOPW,comic_book
1006,CrJT4B8pT5a,ski_mask
1007,CrJtM63PHFW,sarong
1008,CrJYehaAhbh,"bikini, two-piece"
1009,CrK6lLcusAw,"parachute, chute"
1010,CrK7Iw5SkhT,"web_site, website, internet_site, site"
1011,CrKdwGFuOKh,"hoopskirt, crinoline"
1012,CrKdym9uQt8,monitor
1013,CrKuEiKNNbd,bulletproof_vest
1014,CrKv-EtPf2P,potter's_wheel
1015,CrKXvewpK8j,"quilt, comforter, comfort, puff"
1016,CrK_zvLAofv,"crib, cot"
1017,CrL0uq1J1XN,"bikini, two-piece"
1018,CrL0VKMJy-L,"breastplate, aegis, egis"
1019,CrL0YqzLEDG,"parallel_bars, bars"
1020,CrLj3xDOfsK,"jersey, T-shirt, tee_shirt"
1021,CrLlgWALc5t,maillot
1022,CrM-LzcPE0D,llama
1023,CrM6yxIpL3o,mousetrap
1024,CrMACzPPc_W,wig
1025,CrMb8n7p0r9,"web_site, website, internet_site, site"
1026,CrMCYjGvV_L,bulletproof_vest
1027,CrMfIHwuz9K,"brassiere, bra, bandeau"
1028,CrMhAlDvEnw,"web_site, website, internet_site, site"
1029,CrMmEiFPQ-O,"breastplate, aegis, egis"
1030,CrMOQoQPVMV,"web_site, website, internet_site, site"
1031,CrMpW1IuaFu,toyshop
1032,CrMRzkmP7O5,"ballplayer, baseball_player"
1033,CrMxRuFOM2J,comic_book
1034,CrMy4-ItR39,ski
1035,CrMzFl3ov7P,"breastplate, aegis, egis"
1036,CrNc8nLNFMY,soccer_ball
1037,CrO4Av5qEon,comic_book
1038,CrOagWCKPMD,"television, television_system"
1039,CrOAn-UO4o5,soccer_ball
1040,CrOazoau8GD,"brassiere, bra, bandeau"
1041,CrODFJrv-06,"ballplayer, baseball_player"
1042,CrODur1o66t,trench_coat
1043,CrOepIWtb3m,gown
1044,CrOFTsrN9-T,"switch, electric_switch, electrical_switch"
1045,CrOGmDzr67V,"maillot, tank_suit"
1046,CrOhftwIezq,kimono
1047,CrOoRAvoMU5,"sports_car, sport_car"
1048,CrOP_-BufyF,jigsaw_puzzle
1049,CrOTyWzrUOf,"jersey, T-shirt, tee_shirt"
1050,CrOV8SyuYPH,tripod
1051,CrOWJTBuCSb,holster
1052,CrPApY_PuYn,fur_coat
1053,CrPbbQEtKa8,tripod
1054,CrPbcLKuBu6,maillot
1055,CrPDZQ-Pj-C,trench_coat
1056,CrPHsUIJPf_,"maillot, tank_suit"
1057,CrPJ6UXL7rO,tennis_ball
1058,CrPpP6gOgjv,stethoscope
1059,CrPUD7YJwnU,four-poster
1060,CrPX33opk5X,kimono
1061,CrQ-4wSpbhC,maillot
1062,CrQ79JHuyTq,sweatshirt
1063,CrQ7UcCOAN_,comic_book
1064,CrQ8EghoLrr,digital_watch
1065,CrQcdySsEZE,"accordion, piano_accordion, squeeze_box"
1066,CrQgSTkMT7B,"hand_blower, blow_dryer, blow_drier, hair_dryer, hair_drier"
1067,CrQNLMlI9RX,gown
1068,CrQtlNVt_pa,maillot
1069,CrQvLTUrDBN,"swimming_trunks, bathing_trunks"
1070,CrQVzBJsXL_,shoji
1071,CrQwmXPvAxl,"ballplayer, baseball_player"
1072,CrQZcFitGHG,vestment
1073,CrR36coJduB,"web_site, website, internet_site, site"
1074,CrR43vhJRN2,comic_book
1075,CrRf1AULXUp,comic_book
1076,CrRGHjjLvYl,"suit, suit_of_clothes"
1077,CrRGR0crUme,"chimpanzee, chimp, Pan_troglodytes"
1078,CrRhG5GtSUy,soccer_ball
1079,CrRK-JgA-tD,palace
1080,CrRRna9O4z1,sunglass
1081,CrSEJ_PoUsj,monitor
1082,CrSGcipv_sb,"web_site, website, internet_site, site"
1083,CrSLRkGrwbc,"gasmask, respirator, gas_helmet"
1084,CrSOr5moUqz,"maillot, tank_suit"
1085,CrT-6FsrVvZ,"ballplayer, baseball_player"
1086,CrT4WdNPG5l,"bow_tie, bow-tie, bowtie"
1087,CrT5SzLIW6Z,"ballplayer, baseball_player"
1088,CrTbaoZtTzy,"academic_gown, academic_robe, judge's_robe"
1089,CrTbpNAI6kI,"ballplayer, baseball_player"
1090,CrTDLymvTb5,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
1091,CrTh2F0rBAE,kimono
1092,CrThQfdLMNS,"bow_tie, bow-tie, bowtie"
1093,CrTi3TCuvL-,"swimming_trunks, bathing_trunks"
1094,CrTIjKkoLTY,"web_site, website, internet_site, site"
1095,CrTKqHEvn88,"miniskirt, mini"
1096,CrTLRHBobmK,"ballplayer, baseball_player"
1097,CrTLsbHrgQm,"brassiere, bra, bandeau"
1098,CrTvgCvJmTQ,"web_site, website, internet_site, site"
1099,CrTWMCFO5bw,plate_rack
1100,CrUE3a6tRs4,basketball
1101,CrUFy7csJba,"web_site, website, internet_site, site"
1102,CrUGT1Fs2VK,"jersey, T-shirt, tee_shirt"
1103,CrUH-xsIpPn,"swimming_trunks, bathing_trunks"
