,shortcode,object
124,CpqfxOtu9Zo,comic_book
125,CpqMPWePdOU,"ballplayer, baseball_player"
126,CpqP74rr2qA,oxygen_mask
127,CpqrATUD4O6,sweatshirt
128,CpQUZ4LNfeU,"chain_mail, ring_mail, mail, chain_armor, chain_armour, ring_armor, ring_armour"
129,CpqyTMxvMFA,fur_coat
130,Cpr-9xzyoFl,barber_chair
131,CprE5Ssr_xL,comic_book
132,CpRHRUOKc6q,maillot
133,CprQa3rO9mv,"Staffordshire_bullterrier, Staffordshire_bull_terrier"
134,CpRtdq8J6kD,speedboat
135,CpS0P4XuDm4,bulletproof_vest
136,CpsfJ0qOdSL,"bikini, two-piece"
137,CpsLhazMbmW,"jersey, T-shirt, tee_shirt"
138,CpUthn5JLa2,"lab_coat, laboratory_coat"
139,Cpu_3e6DSOa,"ballplayer, baseball_player"
140,Cpv0l-Xuhpk,"brassiere, bra, bandeau"
141,Cpv2SBMrAGY,"brassiere, bra, bandeau"
142,Cpvaj1vPzQK,"teddy, teddy_bear"
143,CpvOwoYrzl5,"academic_gown, academic_robe, judge's_robe"
144,CpvpYy6usVz,"suit, suit_of_clothes"
145,CpvQd3yrH7W,"hoopskirt, crinoline"
146,CpvS44npbfE,"balance_beam, beam"
147,CpvZ88Ir5N_,neck_brace
148,CpwJ5eKNVuo,"bikini, two-piece"
149,CpWyGasNJ8_,trench_coat
150,Cpxgw3pM3gV,"book_jacket, dust_cover, dust_jacket, dust_wrapper"
151,CpxuE59J9Po,"academic_gown, academic_robe, judge's_robe"
152,CpYAkthOInq,comic_book
153,CpyDpKMP0AQ,"maillot, tank_suit"
154,CpYkewCPiJh,"gasmask, respirator, gas_helmet"
155,CpYkNlsPVpd,sweatshirt
156,CpYkqEVvLZv,ski_mask
157,CpYuPtjD6dp,"accordion, piano_accordion, squeeze_box"
158,Cpz2CmLO9Ow,military_uniform
159,CpZE7EHujsW,bow
160,CpZP8TaOxTp,toyshop
161,Cp_oNR6uHrh,"unicycle, monocycle"
162,Cp_TjmPP_LW,comic_book
163,Cq-06EIr54p,kimono
164,Cq-11UUuLEo,kimono
165,Cq-1fSGsSix,"brassiere, bra, bandeau"
166,Cq-2yRTtjD8,"laptop, laptop_computer"
167,Cq-3AeXrmuk,"lipstick, lip_rouge"
168,Cq-9L9wtiqa,sunglass
169,Cq-soopr_2S,barbell
170,Cq-VGwPICL1,jigsaw_puzzle
171,Cq-w9OpM0U3,kimono
172,Cq-y74FO_N_,barbell
173,Cq-z0nQOLvq,"sea_anemone, anemone"
174,Cq07Kw9vnvu,sweatshirt
175,Cq0i5XkussK,"Angora, Angora_rabbit"
176,Cq0Nlo8Jz36,sunglass
177,Cq0XjflLjA-,ski
178,Cq15H6It-sN,"brassiere, bra, bandeau"
179,Cq1aJ_lvICv,"hoopskirt, crinoline"
180,Cq1cJbJPvkV,basketball
181,Cq1FMaZvl0J,ski_mask
182,Cq1gmMwt-6R,"ballplayer, baseball_player"
183,Cq27S_xrX7I,fur_coat
184,Cq2A-SKLiJM,"Arctic_fox, white_fox, Alopex_lagopus"
185,Cq39ZPJPj7V,convertible
186,Cq3fkyTPQY8,comic_book
187,Cq3HoSnLIn8,sunglass
188,Cq3I9ulJE6b,"balance_beam, beam"
189,Cq3N3i2OZoa,"breastplate, aegis, egis"
190,Cq3NRgHO8ri,"web_site, website, internet_site, site"
191,Cq3PgHruKXA,soccer_ball
192,Cq3uPFBO6O4,hair_spray
193,Cq3UUUirzqw,bow
194,Cq48OCwNETl,"bathing_cap, swimming_cap"
195,Cq4ex1apP8P,"web_site, website, internet_site, site"
196,Cq4MNCJJSyx,honeycomb
197,Cq4T4A6pAuW,"bonnet, poke_bonnet"
198,Cq4UA2IpdCj,"bikini, two-piece"
199,Cq4ULMkJLvx,"jersey, T-shirt, tee_shirt"
200,Cq56eczJjKo,"hoopskirt, crinoline"
201,Cq5dIFav04b,"web_site, website, internet_site, site"
