,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6
0,CpeEJ57LAF9,GraphSidecar,zendaya,7071282,21778,1 person,makeup,fishnet stockings,miniskirt,No Object,No Object
1,CpMehdsu7vV,GraphSidecar,zendaya,5618660,11348,‎1 person,gown,dress,text,No Object,No Object
2,CpJQ4F8rRu8,GraphImage,zendaya,5501356,16418,1 person,makeup,necklace,neckwear,No Object,No Object
3,CpHNCA4D887,GraphVideo,zendaya,6616834,28318,No Object,No Object,No Object,No Object,No Object,No Object
4,CpGyOPwLNEP,GraphSidecar,zendaya,7180083,24710,1 person,gown,dress,No Object,No Object,No Object
5,CnQrKP9rM2A,GraphImage,zendaya,8266768,15811,No Object,No Object,No Object,No Object,No Object,No Object
6,CmcfglqBg2l,GraphVideo,zendaya,10030160,38476,No Object,No Object,No Object,No Object,No Object,No Object
7,ClT2kXSrU7E,GraphImage,zendaya,13415656,49205,No Object,No Object,No Object,No Object,No Object,No Object
8,CjP-IHdOoyP,GraphSidecar,zendaya,9501096,36835,No Object,No Object,No Object,No Object,No Object,No Object
0,Cra5E1GMEXt,GraphSidecar,kevinhart4real,39457,550,one or more people,crowd,concert,No Object,No Object,No Object
1,Craqyt3rtzV,GraphImage,kevinhart4real,302584,1688,‎1 person,playing basketball,ball,text,No Object,No Object
2,CrZqNEfqMNn,GraphVideo,kevinhart4real,29096,310,No Object,No Object,No Object,No Object,No Object,No Object
3,CrYuZgFJA0u,GraphVideo,kevinhart4real,114591,352,No Object,No Object,No Object,No Object,No Object,No Object
4,CrWAs5xLCcI,GraphImage,kevinhart4real,65649,702,1 person,suitcase,wingtip shoes,luggage,sweatpants,No Object
5,CrV4SZcgYBf,GraphVideo,kevinhart4real,60983,1237,No Object,No Object,No Object,No Object,No Object,No Object
6,CrUEWYcJt_H,GraphVideo,kevinhart4real,47980,499,No Object,No Object,No Object,No Object,No Object,No Object
7,CrThQfdLMNS,GraphImage,kevinhart4real,162629,1129,4 people,suit,overcoat,loafer,dinner jacket,blazer
8,CrRsMpXNYZx,GraphVideo,kevinhart4real,20701,210,No Object,No Object,No Object,No Object,No Object,No Object
9,CrPJ6UXL7rO,GraphImage,kevinhart4real,118250,922,5 people,people st,"ing, shoes, fleece, sweatshirt, sweatsuit and sweatpants",No Object,No Object,No Object
10,CrOA05zux5o,GraphVideo,kevinhart4real,61477,474,No Object,No Object,No Object,No Object,No Object,No Object
0,CrJrHlfvOPW,GraphImage,ddlovato,146474,2429,1 person,makeup,hair,magazine,poster,No Object
1,CqtIkw3PhE6,GraphSidecar,ddlovato,654334,3959,1 person,makeup,sweater,sweatshirt,sweatpants,No Object
2,CqUuBDsuWrR,GraphSidecar,ddlovato,1101367,3898,1 person,makeup,people kissing,No Object,No Object,No Object
3,CqKFDjsDvLv,GraphVideo,ddlovato,1774018,24045,No Object,No Object,No Object,No Object,No Object,No Object
4,CqHHrIJPJc7,GraphSidecar,ddlovato,611600,5020,1 person,fur coat,eyewear,jacket,parka,No Object
0,CrY0Ba7pdHR,GraphVideo,kingjames,801690,7089,No Object,No Object,No Object,No Object,No Object,No Object
1,CrEz0JiOPAv,GraphVideo,kingjames,593588,3132,No Object,No Object,No Object,No Object,No Object,No Object
2,Cq1cJbJPvkV,GraphSidecar,kingjames,1760346,8583,2 people,people playing basketball,basketball jersey,ball,backboard,crowd
3,CqwULEXOuOA,GraphSidecar,kingjames,1122368,5695,1 person,st,ing and flight jacket,No Object,No Object,No Object
4,CqWbQtRuyFg,GraphSidecar,kingjames,1273019,7652,‎1 person,playing basketball,basketball jersey,poster,sportswear,magazine
5,CqUFPMLOIVs,GraphImage,kingjames,566798,1760,basketball,television,screen,camera,basketball court,No Object
6,CqM12DOsTHt,GraphSidecar,kingjames,1787501,12272,1 person,beard,sportswear,jacket,text,No Object
7,CqMzcRfDznT,GraphVideo,kingjames,1339654,8002,No Object,No Object,No Object,No Object,No Object,No Object
0,CrQ8EghoLrr,GraphImage,badgalriri,2317665,10080,1 person,baby,sweatsuit,No Object,No Object,No Object
1,Cq6YqPaPXpK,GraphSidecar,badgalriri,3271774,10555,1 person,baby,Easter egg,basket,grass,No Object
2,Cq6YLOfv7ag,GraphSidecar,badgalriri,5738077,26807,1 person,baby,Easter egg,grass,No Object,No Object
3,CqgexRgg0iC,GraphVideo,badgalriri,7282010,47786,No Object,No Object,No Object,No Object,No Object,No Object
4,CqONOfmvIDV,GraphSidecar,badgalriri,4809730,16581,1 person,makeup,lipstick,eyeliner,No Object,No Object
5,CqEUmHTP9-9,GraphImage,badgalriri,3044892,10630,1 person,eyeliner,lipstick,makeup,No Object,No Object
6,Cpa-qsiuJOD,GraphSidecar,badgalriri,8350939,38677,1 person,baby,st,"ing, playpen and diaper",No Object,No Object
7,CovmqHZPkAk,GraphSidecar,badgalriri,2558820,12547,one or more people,makeup,fire,magazine,dress,fireplace
8,CovjfJvPWEB,GraphSidecar,badgalriri,6972851,25151,one or more people,makeup,magazine,dress,gown,No Object
9,CotESMHvkjC,GraphSidecar,badgalriri,12171968,58377,baby,text,No Object,No Object,No Object,No Object
10,CosSoekv1Im,GraphImage,badgalriri,11644049,95007,baby,diaper,text,No Object,No Object,No Object
11,CosM8iwrEp9,GraphImage,badgalriri,11561391,62331,one or more people,makeup,magazine,text,No Object,No Object
0,CrbdJ0tLTjq,GraphSidecar,realmadrid,496983,618,1 person,crowd,stadium,park,No Object,No Object
1,CrbTEvnq1JD,GraphVideo,realmadrid,162033,314,No Object,No Object,No Object,No Object,No Object,No Object
2,CrbJhR4I3Po,GraphVideo,realmadrid,523888,735,No Object,No Object,No Object,No Object,No Object,No Object
3,Cra__ftITOe,GraphVideo,realmadrid,200565,368,No Object,No Object,No Object,No Object,No Object,No Object
4,CrZNhbjo4rj,GraphVideo,realmadrid,229618,520,No Object,No Object,No Object,No Object,No Object,No Object
0,CrWq8zKONQJ,GraphImage,champagnepapi,1312032,60,1 person,beard,hookah,night,No Object,No Object
1,CrUzJSRufO-,GraphSidecar,champagnepapi,1985977,76,1 person,wingtip shoes,flight jacket,No Object,No Object,No Object
2,CqtSuJGurQj,GraphImage,champagnepapi,2271763,149,1 person,racing a vehicle,face mask,helmet,No Object,No Object
3,Cqq9T07OOda,GraphSidecar,champagnepapi,1923011,96,2 people,sweatsuit,sweatshirt,text,No Object,No Object
4,CqkU24buNM8,GraphSidecar,champagnepapi,1827469,67,2 people,microphone,concert,No Object,No Object,No Object
5,CqeNfv6ukVy,GraphImage,champagnepapi,686328,93,1 person,concert,No Object,No Object,No Object,No Object
6,CqZDoMmOPOr,GraphSidecar,champagnepapi,1331622,135,3 people,cigar,crowd,No Object,No Object,No Object
7,CqJWMnxuolR,GraphSidecar,champagnepapi,1072662,60,6 people,people st,"ing, hookah and night",No Object,No Object,No Object
8,Cp9N0k9uXYt,GraphSidecar,champagnepapi,1511701,93,pool,outdoors,No Object,No Object,No Object,No Object
9,Cpunut_Pnte,GraphVideo,champagnepapi,1985753,208,No Object,No Object,No Object,No Object,No Object,No Object
10,CprQa3rO9mv,GraphImage,champagnepapi,1780741,83,1 person,beard,No Object,No Object,No Object,No Object
0,CrDvRXKrmA2,GraphSidecar,chrisbrownofficial,499513,3791,1 person,skateboard,No Object,No Object,No Object,No Object
1,CrDSo-sgqTh,GraphVideo,chrisbrownofficial,382567,4881,No Object,No Object,No Object,No Object,No Object,No Object
2,CrBTJlxrPlz,GraphImage,chrisbrownofficial,357034,3036,1 person,beard,hair,No Object,No Object,No Object
3,Cq9jia3rWDk,GraphImage,chrisbrownofficial,273563,2065,1 person,concert,No Object,No Object,No Object,No Object
4,Cqo3kmHAa6Q,GraphVideo,chrisbrownofficial,135551,2078,No Object,No Object,No Object,No Object,No Object,No Object
5,CqeUe-6jYCj,GraphVideo,chrisbrownofficial,141115,2039,No Object,No Object,No Object,No Object,No Object,No Object
6,CqZfzOoAEeY,GraphVideo,chrisbrownofficial,173911,1704,No Object,No Object,No Object,No Object,No Object,No Object
7,CqZJ1zsvK6l,GraphSidecar,chrisbrownofficial,228849,2241,1 person,microphone,crowd,concert,No Object,No Object
8,CqUkxxsMrlY,GraphImage,chrisbrownofficial,965085,4628,4 people,makeup,text,No Object,No Object,No Object
9,CqTzEozMp5r,GraphImage,chrisbrownofficial,325174,5379,‎poster,text,No Object,No Object,No Object,No Object
10,CqRjl8_IB2G,GraphVideo,chrisbrownofficial,254779,3636,No Object,No Object,No Object,No Object,No Object,No Object
11,CqRi5i4oALO,GraphSidecar,chrisbrownofficial,435511,3199,2 people,crowd,concert,No Object,No Object,No Object
0,CrbnivJAvja,GraphVideo,fcbarcelona,126695,271,No Object,No Object,No Object,No Object,No Object,No Object
1,CrbbnFgo4co,GraphVideo,fcbarcelona,889043,4264,No Object,No Object,No Object,No Object,No Object,No Object
2,CrbOfY-oG1l,GraphVideo,fcbarcelona,435979,766,No Object,No Object,No Object,No Object,No Object,No Object
3,CrbE66eIbeI,GraphSidecar,fcbarcelona,793981,1552,1 person,playing football,playing soccer,playing tennis,sportswear,racket
4,CrawyLMsi6H,GraphImage,fcbarcelona,584987,1317,1 person,playing football,playing soccer,ball,stadium,No Object
5,CradTV1giZD,GraphSidecar,fcbarcelona,412828,553,2 people,people playing football,people playing soccer,No Object,No Object,No Object
6,CrZRH8eMU53,GraphImage,fcbarcelona,410424,889,5 people,people playing football,people playing soccer,text,No Object,No Object
7,CrZAA05sukK,GraphImage,fcbarcelona,690853,1524,1 person,playing football,playing soccer,No Object,No Object,No Object
8,CrY1EBxs5z8,GraphImage,fcbarcelona,1312577,2328,football,timer,No Object,No Object,No Object,No Object
9,CrYwKv2IfFS,GraphVideo,fcbarcelona,862284,1793,No Object,No Object,No Object,No Object,No Object,No Object
10,CrYtxOEoKNM,GraphVideo,fcbarcelona,799374,1541,No Object,No Object,No Object,No Object,No Object,No Object
11,CrYqoWxIeQ_,GraphImage,fcbarcelona,1521725,2188,2 people,people playing football,people playing soccer,ball,poster,stadium
0,Cq-3AeXrmuk,GraphImage,billieeilish,3037728,14884,one or more people,bangs,makeup,cigarette,No Object,No Object
1,Cq6Q7SUPhXJ,GraphSidecar,billieeilish,12577712,51859,1 person,parasol,sundress,No Object,No Object,No Object
2,CqYVkH0uAvl,GraphSidecar,billieeilish,5651731,23059,1 person,sweat b,", sportswear and costume",No Object,No Object,No Object
3,CqQgeQcOyL5,GraphSidecar,billieeilish,4268901,27383,1 person,crowd,text,No Object,No Object,No Object
4,CqQf-kCOWeu,GraphSidecar,billieeilish,7787083,77897,1 person,bangs,hat,sweat b,", top and concert",No Object
5,CqKL3Set_4l,GraphSidecar,billieeilish,3797135,11908,1 person,crowd,concert,No Object,No Object,No Object
6,CqG6fvgO3pq,GraphSidecar,billieeilish,6565458,20722,1 person,microphone,concert,No Object,No Object,No Object
7,CqGOK4NJukv,GraphSidecar,billieeilish,2283913,3229,1 person,sneakers,sportswear,sweatpants,No Object,No Object
8,CqDpUUluE1N,GraphImage,billieeilish,1203963,2427,1 person,lighter,fragrance,perfume,flask,battery
0,CrO4Av5qEon,GraphImage,championsleague,1290344,6686,6 people,people playing football,people playing soccer,poster,text,No Object
1,Cra7dUHKmCH,GraphImage,championsleague,298669,369,4 people,overcoat,portable cassette player,sportswear,blazer,sweatsuit
2,CratKXOIPFW,GraphSidecar,championsleague,202801,302,2 people,card,text,No Object,No Object,No Object
3,Crab6Lkro9b,GraphVideo,championsleague,291369,591,No Object,No Object,No Object,No Object,No Object,No Object
4,CrZGZe7oMZy,GraphVideo,championsleague,383071,403,No Object,No Object,No Object,No Object,No Object,No Object
5,CrYpP6QoUCE,GraphVideo,championsleague,95212,264,No Object,No Object,No Object,No Object,No Object,No Object
0,CrQcdySsEZE,GraphImage,k.mbappe,1847686,7664,1 person,playing football,playing soccer,cleats,sportswear,No Object
1,CrP9kIwAjel,GraphVideo,k.mbappe,659834,2481,No Object,No Object,No Object,No Object,No Object,No Object
2,CrGNkMtuoga,GraphVideo,k.mbappe,1114549,6337,No Object,No Object,No Object,No Object,No Object,No Object
3,CqTugGXMts2,GraphSidecar,k.mbappe,5465831,23296,2 people,baby,people smiling,snowsuit,No Object,No Object
4,CqMIY8oD-NO,GraphSidecar,k.mbappe,5473924,17345,1 person,playing football,playing soccer,stadium,text,No Object
5,CqBJKjMMOU6,GraphSidecar,k.mbappe,5351738,28154,1 person,st,"ing, overcoat, wingtip shoes, jacket, fleece and park",No Object,No Object,No Object
6,Cp29r6yslVY,GraphSidecar,k.mbappe,6630336,35779,1 person,sunglasses,glasses,No Object,No Object,No Object
7,CpqrATUD4O6,GraphImage,k.mbappe,2907997,16173,1 person,playing football,playing soccer,stadium,text,No Object
8,CpfVrMYg5VE,GraphVideo,k.mbappe,4836231,52172,No Object,No Object,No Object,No Object,No Object,No Object
9,CpdnAaDsZpn,GraphImage,k.mbappe,5670814,33929,2 people,people playing football,people playing soccer,sportswear,No Object,No Object
10,CpYuPtjD6dp,GraphSidecar,k.mbappe,5070138,27182,1 person,playing football,playing soccer,text,No Object,No Object
0,CrGkNOur3RD,GraphImage,gal_gadot,470274,2382,2 people,dress,carpet,gown,text,No Object
1,Cq-9L9wtiqa,GraphSidecar,gal_gadot,1109148,5213,1 person,eyewear,No Object,No Object,No Object,No Object
2,Cq3ao97sThD,GraphVideo,gal_gadot,167504,1471,No Object,No Object,No Object,No Object,No Object,No Object
3,CqYblGcDTzc,GraphVideo,gal_gadot,1360699,5872,No Object,No Object,No Object,No Object,No Object,No Object
4,CqGP9kLPb2A,GraphVideo,gal_gadot,287396,1946,No Object,No Object,No Object,No Object,No Object,No Object
5,CqDxK3BNv-F,GraphImage,gal_gadot,843804,4366,1 person,hair,makeup,No Object,No Object,No Object
6,CpvV53cjewB,GraphVideo,gal_gadot,703267,4897,No Object,No Object,No Object,No Object,No Object,No Object
7,CpQUZ4LNfeU,GraphSidecar,gal_gadot,386685,1848,1 person,makeup,dress,text,No Object,No Object
8,CpLBwhLNial,GraphImage,gal_gadot,468827,2920,1 person,fire,fleece,parka,fireplace,hearth
0,CrWN-40pMse,GraphVideo,vindiesel,938216,3326,No Object,No Object,No Object,No Object,No Object,No Object
1,CrT_m9SpUCw,GraphVideo,vindiesel,417856,2337,No Object,No Object,No Object,No Object,No Object,No Object
2,CrRl_nnOGwb,GraphVideo,vindiesel,718235,3427,No Object,No Object,No Object,No Object,No Object,No Object
3,CrMRzkmP7O5,GraphImage,vindiesel,801658,1973,2 people,people racing vehicles,race car,No Object,No Object,No Object
4,CrJRk6ypVZ7,GraphVideo,vindiesel,763552,3577,No Object,No Object,No Object,No Object,No Object,No Object
5,CrEXIaBJOvw,GraphVideo,vindiesel,992296,6519,No Object,No Object,No Object,No Object,No Object,No Object
6,Cq_EdvMJSV7,GraphVideo,vindiesel,690472,2440,No Object,No Object,No Object,No Object,No Object,No Object
7,Cq8Uq7vLrmN,GraphImage,vindiesel,3702898,12955,4 people,car,poster,text,No Object,No Object
8,Cq3fkyTPQY8,GraphImage,vindiesel,186712,939,5 people,magazine,poster,text,No Object,No Object
9,CqycfHvrZ5v,GraphVideo,vindiesel,1802052,7901,No Object,No Object,No Object,No Object,No Object,No Object
10,Cqvn5s3JOOr,GraphVideo,vindiesel,848295,6333,No Object,No Object,No Object,No Object,No Object,No Object
0,CrZPFN9PiPi,GraphSidecar,lalalalisa_m,6989343,49321,1 person,miniskirt,No Object,No Object,No Object,No Object
1,CrMCYjGvV_L,GraphSidecar,lalalalisa_m,10461011,81941,1 person,knit,fishnet stockings,miniskirt,No Object,No Object
2,CrCVstivN_3,GraphSidecar,lalalalisa_m,8233095,161097,1 person,miniskirt,display case,No Object,No Object,No Object
3,CrCVF3OP40-,GraphSidecar,lalalalisa_m,8725585,73438,1 person,hair,bra,bolo tie,miniskirt,top
4,Cqou6WAPXzE,GraphSidecar,lalalalisa_m,10128126,165373,1 person,hair,baby's-breath,rose,No Object,No Object
5,Cqf2hMprkqD,GraphSidecar,lalalalisa_m,8283746,98260,1 person,hair,tinsel,dress,balloon,No Object
6,Cqf1zmhLDjg,GraphSidecar,lalalalisa_m,13583559,173464,1 person,c,"le holder, balloon, sparkler, candle, lollipop and cake",No Object,No Object,No Object
7,CqQYb1RvuLa,GraphSidecar,lalalalisa_m,11125320,176038,4 people,concert,No Object,No Object,No Object,No Object
8,CqPfndvLaaq,GraphSidecar,lalalalisa_m,10248894,78567,1 person,top,miniskirt,No Object,No Object,No Object
0,Crbv5CfJ5nj,GraphSidecar,nasa,796482,1380,No Object,No Object,No Object,No Object,No Object,No Object
1,CrVzoYwu28_,GraphImage,nasa,1834154,5638,No Object,No Object,No Object,No Object,No Object,No Object
2,CrROhdhJvL9,GraphVideo,nasa,995694,5400,No Object,No Object,No Object,No Object,No Object,No Object
3,CrPbbQEtKa8,GraphImage,nasa,522874,1228,helicopter,telescope,crater,No Object,No Object,No Object
4,CrJ5GtrpHX4,GraphImage,nasa,790609,1518,No Object,No Object,No Object,No Object,No Object,No Object
5,CrESoXYpM1j,GraphImage,nasa,674073,2299,telescope,text,No Object,No Object,No Object,No Object
6,CrBt7XqpNSJ,GraphSidecar,nasa,1849745,3441,No Object,No Object,No Object,No Object,No Object,No Object
7,Cq_AjukMTOK,GraphImage,nasa,924215,1575,No Object,No Object,No Object,No Object,No Object,No Object
0,CrcFGLmPXPO,GraphSidecar,dualipa,1073841,3825,1 person,cloak,sword,No Object,No Object,No Object
1,Cq-w9OpM0U3,GraphSidecar,dualipa,1957836,4999,1 person,overcoat,brick wall,No Object,No Object,No Object
2,Cq-XUuXtQPD,GraphVideo,dualipa,91598,306,No Object,No Object,No Object,No Object,No Object,No Object
3,CqpiKBpszsp,GraphSidecar,dualipa,3149672,7800,1 person,makeup,leather,top,blazer,No Object
4,CqnXuats60_,GraphImage,dualipa,3944366,17506,1 person,poster,magazine,text,No Object,No Object
5,CqaSfj7MNRg,GraphSidecar,dualipa,1116186,3303,1 person,overcoat,duffle coat,fur coat,fishnet stockings,tights
6,CqYIh-pLIRq,GraphImage,dualipa,944764,2676,1 person,makeup,fragrance,perfume,No Object,No Object
7,CqNl0mosCPS,GraphSidecar,dualipa,2412492,3971,3 people,top,No Object,No Object,No Object,No Object
8,CqLLXZRsmwb,GraphSidecar,dualipa,6785256,14840,1 person,underwear,No Object,No Object,No Object,No Object
9,CqIoONvukkQ,GraphSidecar,dualipa,4234489,10116,1 person,ocean,No Object,No Object,No Object,No Object
10,Cp-YjkiO0mj,GraphVideo,dualipa,416468,1635,No Object,No Object,No Object,No Object,No Object,No Object
11,Cp2tSAJuJ9q,GraphSidecar,dualipa,2286307,7149,1 person,miniskirt,dress,No Object,No Object,No Object
0,CrYpL-1t3UY,GraphSidecar,priyankachopra,509553,1893,3 people,suit,dinner jacket,text,No Object,No Object
1,CrX7N4CLrV9,GraphVideo,priyankachopra,29175,376,No Object,No Object,No Object,No Object,No Object,No Object
2,CrWLJTGpqo_,GraphVideo,priyankachopra,132967,670,No Object,No Object,No Object,No Object,No Object,No Object
3,CrV7IKCt1ea,GraphSidecar,priyankachopra,2715984,9777,1 person,dress,gown,No Object,No Object,No Object
4,CrQtlNVt_pa,GraphSidecar,priyankachopra,1156402,4219,2 people,dress,No Object,No Object,No Object,No Object
5,CrOykb7swFD,GraphVideo,priyankachopra,534661,2544,No Object,No Object,No Object,No Object,No Object,No Object
6,CrOepIWtb3m,GraphSidecar,priyankachopra,779997,2530,‎1 person,gown,carpet,dress,text,No Object
7,CrLyahmvo-9,GraphVideo,priyankachopra,403298,2101,No Object,No Object,No Object,No Object,No Object,No Object
8,CrEZT6brfpN,GraphSidecar,priyankachopra,1478655,3462,2 people,hair,makeup,fur coat,sweatsuit,parka
9,CrBpRLxLg12,GraphVideo,priyankachopra,509973,2380,No Object,No Object,No Object,No Object,No Object,No Object
10,CrBPsp0NQdp,GraphSidecar,priyankachopra,539064,1557,5 people,suit,text,No Object,No Object,No Object
11,Cq_P1CGLXNa,GraphSidecar,priyankachopra,1802946,5602,1 person,makeup,gown,turtleneck,dress,No Object
0,CrR6evxLCd0,GraphVideo,shakira,1103502,11976,No Object,No Object,No Object,No Object,No Object,No Object
1,Cq3o7Ikue0F,GraphVideo,shakira,176844,2352,No Object,No Object,No Object,No Object,No Object,No Object
2,Cq3NRgHO8ri,GraphSidecar,shakira,1644618,53793,one or more people,pie,No Object,No Object,No Object,No Object
3,Cq0i5XkussK,GraphImage,shakira,1373409,9614,rabbit,rabbit hutch,Easter egg,No Object,No Object,No Object
4,CqjB_CkOP-8,GraphImage,shakira,3719843,82636,fog,twilight,horizon,sky,No Object,No Object
5,CqZChC3spaO,GraphImage,shakira,3922093,54540,1 person,long hair,hat,beret,bowler hat,No Object
6,CqJp2k5jydH,GraphVideo,shakira,456239,4215,No Object,No Object,No Object,No Object,No Object,No Object
7,Cp3fmxMj7S0,GraphVideo,shakira,471128,6173,No Object,No Object,No Object,No Object,No Object,No Object
8,Cp2q-odDiSc,GraphVideo,shakira,337479,4195,No Object,No Object,No Object,No Object,No Object,No Object
9,Cpxk8XQDV3e,GraphVideo,shakira,333867,3516,No Object,No Object,No Object,No Object,No Object,No Object
10,CptNhF9LGRc,GraphVideo,shakira,1022016,6555,No Object,No Object,No Object,No Object,No Object,No Object
11,CpqfxOtu9Zo,GraphImage,shakira,2714292,20108,2 people,blonde hair,No Object,No Object,No Object,No Object
0,Crb9oAlPdSV,GraphImage,snoopdogg,261207,3705,1 person,text,No Object,No Object,No Object,No Object
1,CrbThM4JkDQ,GraphVideo,snoopdogg,208784,5654,No Object,No Object,No Object,No Object,No Object,No Object
2,CraKW3XPVrt,GraphVideo,snoopdogg,173030,2161,No Object,No Object,No Object,No Object,No Object,No Object
3,CraKD5OrEu8,GraphVideo,snoopdogg,19687,369,No Object,No Object,No Object,No Object,No Object,No Object
4,CraG49hOYya,GraphImage,snoopdogg,49102,1015,1 person,baby,blazer,No Object,No Object,No Object
5,CrZbgIPP_bX,GraphImage,snoopdogg,24230,680,1 person,text,No Object,No Object,No Object,No Object
6,CrYwVwnJ4RL,GraphImage,snoopdogg,349414,5928,1 person,text,No Object,No Object,No Object,No Object
7,CrXE3peJaRO,GraphVideo,snoopdogg,61751,1177,No Object,No Object,No Object,No Object,No Object,No Object
8,CrYGIYLgrIm,GraphVideo,snoopdogg,457407,2051,No Object,No Object,No Object,No Object,No Object,No Object
9,CrYFS6QOmz9,GraphVideo,snoopdogg,42943,852,No Object,No Object,No Object,No Object,No Object,No Object
10,CrXNbYsrLi1,GraphVideo,snoopdogg,35913,415,No Object,No Object,No Object,No Object,No Object,No Object
11,CrW_WyZpmFt,GraphVideo,snoopdogg,56064,933,No Object,No Object,No Object,No Object,No Object,No Object
0,Cqko2YKo2ka,GraphSidecar,shraddhakapoor,1751714,10228,1 person,cocker spaniel,No Object,No Object,No Object,No Object
1,CpUthn5JLa2,GraphImage,shraddhakapoor,2817858,72764,1 person,smiling,cake,candle,No Object,No Object
2,Co9JNEpJFrf,GraphVideo,shraddhakapoor,4878660,21362,No Object,No Object,No Object,No Object,No Object,No Object
3,CqiiscToYGn,GraphSidecar,shraddhakapoor,1918220,6085,biryani,platter,No Object,No Object,No Object,No Object
4,CqcU89fo8s1,GraphVideo,shraddhakapoor,824176,4966,No Object,No Object,No Object,No Object,No Object,No Object
5,CpxaZKgoyOX,GraphVideo,shraddhakapoor,339765,1645,No Object,No Object,No Object,No Object,No Object,No Object
6,Cpp3yhFpdJr,GraphVideo,shraddhakapoor,1112130,4706,No Object,No Object,No Object,No Object,No Object,No Object
7,CpnXEwFpTba,GraphVideo,shraddhakapoor,1321564,9431,No Object,No Object,No Object,No Object,No Object,No Object
8,CpXmYf6pKnn,GraphVideo,shraddhakapoor,926513,5188,No Object,No Object,No Object,No Object,No Object,No Object
9,CpSeCJnojNL,GraphVideo,shraddhakapoor,234761,1496,No Object,No Object,No Object,No Object,No Object,No Object
10,CpNMZlMo2Ka,GraphSidecar,shraddhakapoor,3121208,17457,1 person,hair,makeup,smiling,No Object,No Object
11,CpMd2bboJgf,GraphVideo,shraddhakapoor,415682,2004,No Object,No Object,No Object,No Object,No Object,No Object
0,Cra3cnigwFF,GraphVideo,khaby00,802873,5921,No Object,No Object,No Object,No Object,No Object,No Object
1,CrYTss_AO-G,GraphVideo,khaby00,2771045,33737,No Object,No Object,No Object,No Object,No Object,No Object
2,CrS8DC-AUYD,GraphVideo,khaby00,1145504,12234,No Object,No Object,No Object,No Object,No Object,No Object
3,CrOAOYugOeY,GraphVideo,khaby00,5824634,50446,No Object,No Object,No Object,No Object,No Object,No Object
4,CrIrSwUAWQH,GraphVideo,khaby00,2473086,14937,No Object,No Object,No Object,No Object,No Object,No Object
5,CrDpfEAAqgL,GraphVideo,khaby00,4443657,30456,No Object,No Object,No Object,No Object,No Object,No Object
6,Cq-ndQ8gJZA,GraphVideo,khaby00,978759,3368,No Object,No Object,No Object,No Object,No Object,No Object
7,Cq7-C1hAFCf,GraphVideo,khaby00,1053983,7395,No Object,No Object,No Object,No Object,No Object,No Object
8,CqvK1O_g22J,GraphVideo,khaby00,2487528,15035,No Object,No Object,No Object,No Object,No Object,No Object
9,CqnlOVPoFRY,GraphVideo,khaby00,1754573,16047,No Object,No Object,No Object,No Object,No Object,No Object
10,Cqk9LmWIwSF,GraphVideo,khaby00,2302359,10834,No Object,No Object,No Object,No Object,No Object,No Object
11,CqdN2v4IdeW,GraphVideo,khaby00,2094107,14379,No Object,No Object,No Object,No Object,No Object,No Object
0,CrcrAwCO6oB,GraphSidecar,nba,110165,563,basketball,ball,text,No Object,No Object,No Object
1,Crc3vP3g7w-,GraphVideo,nba,7628,74,No Object,No Object,No Object,No Object,No Object,No Object
2,CrcvpQjApJa,GraphVideo,nba,17625,223,No Object,No Object,No Object,No Object,No Object,No Object
3,Crcrt5WgNKK,GraphVideo,nba,81078,368,No Object,No Object,No Object,No Object,No Object,No Object
4,CrcpRLkOw_r,GraphSidecar,nba,372043,1758,1 person,playing basketball,poster,ball,scoreboard,crowd
5,CrcoyFMsrJs,GraphImage,nba,87465,333,9 people,people playing basketball,poster,ball,crowd,basketball court
6,CrcoEd1s1w2,GraphSidecar,nba,147243,787,basketball,backboard,poster,ball,scoreboard,crowd
7,CrcmdyAgFqq,GraphVideo,nba,139426,875,No Object,No Object,No Object,No Object,No Object,No Object
8,CrcmP-5smgK,GraphSidecar,nba,510225,3612,4 people,people playing basketball,basketball jersey,poster,ball,backboard
9,CrcleTbAO6X,GraphVideo,nba,91829,906,No Object,No Object,No Object,No Object,No Object,No Object
10,Crcl3ejgbsr,GraphVideo,nba,83840,442,No Object,No Object,No Object,No Object,No Object,No Object
0,CranNqhIFoo,GraphVideo,davidbeckham,41058,270,No Object,No Object,No Object,No Object,No Object,No Object
1,CrOoRAvoMU5,GraphImage,davidbeckham,396686,1291,1 person,car,wheel,No Object,No Object,No Object
2,CrIAvLsIPng,GraphImage,davidbeckham,859326,2853,2 people,blonde hair,people kissing,No Object,No Object,No Object
3,Cq7lJ5SI_gI,GraphVideo,davidbeckham,307199,1215,No Object,No Object,No Object,No Object,No Object,No Object
4,Cqs10TPI20V,GraphImage,davidbeckham,1134132,2290,1 person,playing football,playing soccer,cleats,ball,poster
5,CqomLd6o7PF,GraphVideo,davidbeckham,791335,10000,No Object,No Object,No Object,No Object,No Object,No Object
6,Cqnef1mI7p6,GraphImage,davidbeckham,1034874,2808,1 person,beard,glasses,camera,sunglasses,No Object
7,CqepWymodl0,GraphImage,davidbeckham,309707,893,2 people,people playing baseball,grass,stadium,No Object,No Object
8,CqS57uMIdJu,GraphImage,davidbeckham,557976,1825,1 person,beard,wrist watch,turtleneck,No Object,No Object
