,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_eta,param_refresh_leaf,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.47592711448669434,0.13775847484792914,0.014991283416748047,0.0016733128899716538,gbtree,0.25,0,0.25,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 0, 'subsample': 0.25}",0.31568776058368997,0.7097924373353257,0.47609214236309927,-7.412035745248453,-73.02486825772657,-15.787066332538581,28.782781202662115,45,0.9946920841930348,0.9924536429459603,0.994338669329494,0.992336418829738,0.9923287638706673,0.9932299158337787,0.001056435703512692
1,0.4069674015045166,0.02754745509959457,0.013991212844848633,0.0016724009361691857,gbtree,0.25,0,0.5,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 0, 'subsample': 0.5}",0.4130187727495529,0.7002347261140683,0.5246860952601993,-0.08824748985097663,-17.32077879658557,-3.1542173384625456,7.088130068294227,31,0.9979597080153638,0.9972891583860325,0.9981758195913095,0.9975003754382672,0.9973787672210469,0.997660765730404,0.0003458286260137764
2,0.4689313888549805,0.03870452422823029,0.01359243392944336,0.0013554116092221098,gbtree,0.25,0,0.75,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 0, 'subsample': 0.75}",0.2605213160066475,0.6868663666070083,0.4752887641477691,0.3486052695998648,-3.209640344553444,-0.28767172563843085,1.4679984903067063,11,0.9985294145335918,0.9977902050213934,0.998479170856049,0.9980213240625584,0.9980165785443571,0.9981673386035899,0.0002879642037591959
3,0.5458869457244873,0.030217149680688494,0.013792085647583007,0.0011654926783953939,gbtree,0.25,0,1.0,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 0, 'subsample': 1.0}",0.038781046170938804,0.5872112040274496,0.5797387485757732,0.5015743861516275,-0.23831452828983712,0.2937981713271904,0.33442542850060525,1,0.9985896352651713,0.9978847277356379,0.9985695795548754,0.9981653688522205,0.9981585736787247,0.998273577017326,0.00026968457761652564
4,0.41756091117858884,0.03358089413601017,0.015990829467773436,0.0015480038052182968,gbtree,0.25,1,0.25,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 1, 'subsample': 0.25}",0.31568776058368997,0.7097924373353257,0.47609214236309927,-7.412035745248453,-73.02486825772657,-15.787066332538581,28.782781202662115,45,0.9946920841930348,0.9924536429459603,0.994338669329494,0.992336418829738,0.9923287638706673,0.9932299158337787,0.001056435703512692
5,0.48212361335754395,0.03910080844624835,0.014192008972167968,0.002480567617344176,gbtree,0.25,1,0.5,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 1, 'subsample': 0.5}",0.4130187727495529,0.7002347261140683,0.5246860952601993,-0.08824748985097663,-17.32077879658557,-3.1542173384625456,7.088130068294227,31,0.9979597080153638,0.9972891583860325,0.9981758195913095,0.9975003754382672,0.9973787672210469,0.997660765730404,0.0003458286260137764
6,0.48852033615112306,0.055149625178418475,0.015390777587890625,0.0018533295568158741,gbtree,0.25,1,0.75,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 1, 'subsample': 0.75}",0.2605213160066475,0.6868663666070083,0.4752887641477691,0.3486052695998648,-3.209640344553444,-0.28767172563843085,1.4679984903067063,11,0.9985294145335918,0.9977902050213934,0.998479170856049,0.9980213240625584,0.9980165785443571,0.9981673386035899,0.0002879642037591959
7,0.5272976875305175,0.03780214888937366,0.014192152023315429,0.0024808827989491865,gbtree,0.25,1,1.0,"{'booster': 'gbtree', 'eta': 0.25, 'refresh_leaf': 1, 'subsample': 1.0}",0.038781046170938804,0.5872112040274496,0.5797387485757732,0.5015743861516275,-0.23831452828983712,0.2937981713271904,0.33442542850060525,1,0.9985896352651713,0.9978847277356379,0.9985695795548754,0.9981653688522205,0.9981585736787247,0.998273577017326,0.00026968457761652564
8,0.36559066772460935,0.013868614886619097,0.012392377853393555,0.000799787077840705,gbtree,0.5,0,0.25,"{'booster': 'gbtree', 'eta': 0.5, 'refresh_leaf': 0, 'subsample': 0.25}",0.31199170475391125,0.569485352171069,0.3674837172661778,-27.81498564848771,-403.0796152637005,-85.9291280275994,158.9517732814033,57,0.9967849846149673,0.9945504051039965,0.9971515561110744,0.9960169591673005,0.9943125752059631,0.9957632960406603,0.0011498829429344968
9,0.3967721462249756,0.021978436956453157,0.012992334365844727,0.0010949306043959608,gbtree,0.5,0,0.5,"{'booster': 'gbtree', 'eta': 0.5, 'refresh_leaf': 0, 'subsample': 0.5}",0.37259082063314375,0.5172623175968347,0.42554783701038035,-3.4106430072768115,-13.78423216427837,-3.1758948392629645,5.509872541501061,33,0.9983428220673696,0.9969155181842037,0.9983840994490728,0.9978696230737214,0.9978612732028042,0.9978746671954342,0.0005289351327168759
10,0.44774374961853025,0.02879403893609467,0.012192964553833008,0.001164953053120245,gbtree,0.5,0,0.75,"{'booster': 'gbtree', 'eta': 0.5, 'refresh_leaf': 0, 'subsample': 0.75}",0.23983984698165783,0.7419113881754476,0.5147534215030438,-0.27488699206369027,-7.890896254783,-1.333855718037308,3.296024208785602,21,0.9985401932451766,0.9977777445655255,0.9984437794145357,0.9980810229252985,0.9980691346074761,0.9981823749516024,0.0002768348181021594
