,id,username,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
32,1269788896,championsleague,Sports league,104881557,449,FALSE,TRUE,TRUE,TRUE,4950,3367739.5,1025.166667,445343.1667,74.852,0.876848874,20576,1602,469294,-0.298395256
33,4213518589,k.mbappe,Athlete,103186447,393,FALSE,TRUE,TRUE,TRUE,71,9060102.75,11012.41667,1861528.667,32.14966667,32.34049363,1228,21762.25,4031731.583,4.226862598
34,20788692,gal_gadot,Artist,101064111,1143,FALSE,FALSE,TRUE,TRUE,294,2866128.75,2491.416667,507141.9167,54.08841667,9.505806133,1743,3583.666667,676155.4167,4.910207505
35,1287006597,vindiesel,Actor,92375625,80,FALSE,FALSE,FALSE,TRUE,439,2769296.667,4068.416667,572174.9167,45.16066667,5.409364501,1895,4573.583333,1120273.083,1.458947834
36,8012033210,lalalalisa_m,,92580449,0,TRUE,FALSE,FALSE,TRUE,39,10547140.25,79976.83333,4847882.583,23.20141667,20.70410987,971,113996.75,9608587.333,3.476312169
37,528817151,nasa,,92086996,79,TRUE,TRUE,TRUE,TRUE,531,2456745,1823.25,436263.9167,431.2811667,21.5352748,3816,5542.25,1121580.167,1.269134094
38,12331195,dualipa,Artist,87838484,1054,TRUE,FALSE,TRUE,TRUE,152,4635244.75,3837.75,1103580.583,55.01075,14.00431093,1442,6510.5,2367772.917,3.579001652
39,178537482,priyankachopra,,86727390,738,FALSE,TRUE,TRUE,TRUE,444,3838268,2244,320697.8333,271.6546667,23.89306415,3680,3092.583333,882722.9167,0.896628967
40,217867189,shakira,Musician/band,85906435,158,TRUE,FALSE,TRUE,TRUE,642,4366019.25,5280.083333,382689.6667,51.42458333,7.271344742,2079,21639.41667,1439610.833,3.651243799
41,1574083,snoopdogg,Musician/band,80212034,6887,FALSE,TRUE,TRUE,TRUE,19797,399600.3333,1047.25,54836.41667,776.0731667,5.816525875,56835,2078.333333,144961,0.175559854
42,296102572,shraddhakapoor,Actor,80230010,805,FALSE,FALSE,TRUE,TRUE,360,1821998.167,2345.916667,379017.5,45.44416667,9.584410797,1946,13111,1638520.917,3.11264856
43,779085683,khaby00,Gaming video creator,78803221,990,FALSE,FALSE,TRUE,TRUE,8,2205030.5,50.5,106739.5,12.8165,38.11893519,359,17899.08333,2344342.333,2.176599371
44,20824486,nba,Sports league,79148726,1118,TRUE,TRUE,TRUE,TRUE,18445,661793.6667,298.8333333,77291.91667,70.91058333,10.3918793,59390,860.8333333,139721.8333,0.002817873
45,186904952,davidbeckham,Public figure,78834797,602,FALSE,FALSE,TRUE,TRUE,334,4074663.25,3011,407362.0833,28.25233333,2.474723297,1647,2234.75,552632,2.879702298
46,12995776,gigihadid,Entrepreneur,78072666,1444,FALSE,FALSE,TRUE,TRUE,155,6928523.667,3236.166667,1382429.083,94.4385,43.83410689,3327,3810.583333,1865008.667,4.537204447
47,7140177628,jennierubyjane,,78029526,0,FALSE,FALSE,FALSE,TRUE,47,7708455,32375,3355496.917,27.54341667,57.53865956,980,43564.25,5514094.25,3.383318782
48,259925762,aliaabhatt,Actor,76893562,511,TRUE,FALSE,TRUE,TRUE,242,7720893.333,4400.333333,1119292.833,86.99683333,7.074410797,1917,7604.5,2673698.333,4.115839781
